,Logistic Regression,KNN,Naive Bayes (Gaussian),SVM,Random Forest,Gradient Boosting (LightGBM)
intents_44,"{'accuracy_score': 0.22, 'precision_score': 0.15, 'recall_score': 0.12, 'f1_score': 0.1}","{'accuracy_score': 0.52, 'precision_score': 0.35, 'recall_score': 0.33, 'f1_score': 0.32}","{'accuracy_score': 0.33, 'precision_score': 0.2, 'recall_score': 0.17, 'f1_score': 0.15}","{'accuracy_score': 0.26, 'precision_score': 0.17, 'recall_score': 0.12, 'f1_score': 0.11}","{'accuracy_score': 0.44, 'precision_score': 0.24, 'recall_score': 0.22, 'f1_score': 0.21}","{'accuracy_score': 0.33, 'precision_score': 0.16, 'recall_score': 0.19, 'f1_score': 0.15}"
intents_45,"{'accuracy_score': 0.36, 'precision_score': 0.13, 'recall_score': 0.07, 'f1_score': 0.09}","{'accuracy_score': 0.27, 'precision_score': 0.11, 'recall_score': 0.12, 'f1_score': 0.1}","{'accuracy_score': 0.41, 'precision_score': 0.13, 'recall_score': 0.13, 'f1_score': 0.12}","{'accuracy_score': 0.36, 'precision_score': 0.12, 'recall_score': 0.06, 'f1_score': 0.09}","{'accuracy_score': 0.41, 'precision_score': 0.17, 'recall_score': 0.15, 'f1_score': 0.15}","{'accuracy_score': 0.41, 'precision_score': 0.18, 'recall_score': 0.16, 'f1_score': 0.16}"
intents_46,"{'accuracy_score': 0.59, 'precision_score': 0.42, 'recall_score': 0.39, 'f1_score': 0.38}","{'accuracy_score': 0.67, 'precision_score': 0.6, 'recall_score': 0.58, 'f1_score': 0.56}","{'accuracy_score': 0.66, 'precision_score': 0.59, 'recall_score': 0.58, 'f1_score': 0.56}","{'accuracy_score': 0.64, 'precision_score': 0.54, 'recall_score': 0.53, 'f1_score': 0.51}","{'accuracy_score': 0.69, 'precision_score': 0.58, 'recall_score': 0.59, 'f1_score': 0.56}","{'accuracy_score': 0.65, 'precision_score': 0.55, 'recall_score': 0.54, 'f1_score': 0.52}"
intents_47,"{'accuracy_score': 0.73, 'precision_score': 0.63, 'recall_score': 0.66, 'f1_score': 0.63}","{'accuracy_score': 0.71, 'precision_score': 0.63, 'recall_score': 0.65, 'f1_score': 0.62}","{'accuracy_score': 0.71, 'precision_score': 0.7, 'recall_score': 0.69, 'f1_score': 0.69}","{'accuracy_score': 0.75, 'precision_score': 0.66, 'recall_score': 0.72, 'f1_score': 0.68}","{'accuracy_score': 0.73, 'precision_score': 0.64, 'recall_score': 0.7, 'f1_score': 0.65}","{'accuracy_score': 0.21, 'precision_score': 0.18, 'recall_score': 0.19, 'f1_score': 0.17}"
intents_48,"{'accuracy_score': 0.73, 'precision_score': 0.39, 'recall_score': 0.44, 'f1_score': 0.39}","{'accuracy_score': 0.8, 'precision_score': 0.7, 'recall_score': 0.75, 'f1_score': 0.71}","{'accuracy_score': 0.8, 'precision_score': 0.67, 'recall_score': 0.66, 'f1_score': 0.65}","{'accuracy_score': 0.81, 'precision_score': 0.54, 'recall_score': 0.58, 'f1_score': 0.55}","{'accuracy_score': 0.77, 'precision_score': 0.47, 'recall_score': 0.6, 'f1_score': 0.5}","{'accuracy_score': 0.81, 'precision_score': 0.66, 'recall_score': 0.8, 'f1_score': 0.7}"
intents_49,"{'accuracy_score': 0.43, 'precision_score': 0.46, 'recall_score': 0.45, 'f1_score': 0.42}","{'accuracy_score': 0.43, 'precision_score': 0.42, 'recall_score': 0.42, 'f1_score': 0.42}","{'accuracy_score': 0.29, 'precision_score': 0.19, 'recall_score': 0.25, 'f1_score': 0.21}","{'accuracy_score': 0.43, 'precision_score': 0.46, 'recall_score': 0.45, 'f1_score': 0.42}","{'accuracy_score': 0.43, 'precision_score': 0.28, 'recall_score': 0.33, 'f1_score': 0.3}","{'accuracy_score': 0.57, 'precision_score': 0.5, 'recall_score': 0.29, 'f1_score': 0.36}"
intents_50,"{'accuracy_score': 0.53, 'precision_score': 0.25, 'recall_score': 0.18, 'f1_score': 0.2}","{'accuracy_score': 0.65, 'precision_score': 0.38, 'recall_score': 0.35, 'f1_score': 0.35}","{'accuracy_score': 0.6, 'precision_score': 0.33, 'recall_score': 0.3, 'f1_score': 0.3}","{'accuracy_score': 0.64, 'precision_score': 0.37, 'recall_score': 0.31, 'f1_score': 0.32}","{'accuracy_score': 0.64, 'precision_score': 0.33, 'recall_score': 0.28, 'f1_score': 0.29}","{'accuracy_score': 0.64, 'precision_score': 0.31, 'recall_score': 0.29, 'f1_score': 0.29}"
intents_51,"{'accuracy_score': 0.47, 'precision_score': 0.36, 'recall_score': 0.31, 'f1_score': 0.31}","{'accuracy_score': 0.71, 'precision_score': 0.58, 'recall_score': 0.53, 'f1_score': 0.54}","{'accuracy_score': 0.68, 'precision_score': 0.57, 'recall_score': 0.59, 'f1_score': 0.56}","{'accuracy_score': 0.66, 'precision_score': 0.57, 'recall_score': 0.56, 'f1_score': 0.53}","{'accuracy_score': 0.69, 'precision_score': 0.55, 'recall_score': 0.54, 'f1_score': 0.53}","{'accuracy_score': 0.65, 'precision_score': 0.5, 'recall_score': 0.49, 'f1_score': 0.46}"
intents_52,"{'accuracy_score': 0.5, 'precision_score': 0.42, 'recall_score': 0.4, 'f1_score': 0.37}","{'accuracy_score': 0.68, 'precision_score': 0.57, 'recall_score': 0.61, 'f1_score': 0.56}","{'accuracy_score': 0.68, 'precision_score': 0.61, 'recall_score': 0.64, 'f1_score': 0.59}","{'accuracy_score': 0.65, 'precision_score': 0.59, 'recall_score': 0.6, 'f1_score': 0.55}","{'accuracy_score': 0.66, 'precision_score': 0.59, 'recall_score': 0.63, 'f1_score': 0.56}","{'accuracy_score': 0.62, 'precision_score': 0.53, 'recall_score': 0.56, 'f1_score': 0.52}"
intents_53,"{'accuracy_score': 0.63, 'precision_score': 0.52, 'recall_score': 0.57, 'f1_score': 0.5}","{'accuracy_score': 0.71, 'precision_score': 0.68, 'recall_score': 0.7, 'f1_score': 0.66}","{'accuracy_score': 0.7, 'precision_score': 0.66, 'recall_score': 0.71, 'f1_score': 0.65}","{'accuracy_score': 0.76, 'precision_score': 0.67, 'recall_score': 0.73, 'f1_score': 0.67}","{'accuracy_score': 0.73, 'precision_score': 0.68, 'recall_score': 0.72, 'f1_score': 0.67}","{'accuracy_score': 0.69, 'precision_score': 0.63, 'recall_score': 0.66, 'f1_score': 0.62}"
